field_1,field_2,field_3
545559.000000,4053973.000000,50562.000000
545561.000000,4053973.000000,50564.000000
545563.000000,4053972.000000,50573.000000
545565.000000,4053972.000000,50566.000000
545567.000000,4053972.000000,50561.000000
545567.000000,4053972.000000,50561.000000
545568.000000,4053972.000000,50561.000000
545568.000000,4053972.000000,50561.000000
545568.000000,4053976.000000,50558.000000
545568.000000,4053978.000000,50559.000000
545569.000000,4053980.000000,50562.000000
545569.000000,4053982.000000,50555.000000
545570.000000,4053984.000000,50555.000000
545569.000000,4053986.000000,50559.000000
545570.000000,4053989.000000,50560.000000
545570.000000,4053991.000000,50557.000000
545570.000000,4053994.000000,50549.000000
545570.000000,4053996.000000,50552.000000
545570.000000,4053999.000000,50555.000000
545571.000000,4054001.000000,50550.000000
545571.000000,4054003.000000,50551.000000
545571.000000,4054006.000000,50553.000000
545571.000000,4054008.000000,50556.000000
545571.000000,4054011.000000,50559.000000
545573.000000,4054013.000000,50557.000000
545573.000000,4054015.000000,50574.000000
545574.000000,4054017.000000,50555.000000
545575.000000,4054020.000000,50551.000000
545576.000000,4054022.000000,50550.000000
545577.000000,4054024.000000,50548.000000
545577.000000,4054026.000000,50548.000000
545578.000000,4054029.000000,50545.000000
545579.000000,4054031.000000,50553.000000
545580.000000,4054034.000000,50547.000000
545581.000000,4054035.000000,50545.000000
545582.000000,4054038.000000,50544.000000
545583.000000,4054040.000000,50546.000000
545584.000000,4054042.000000,50540.000000
545584.000000,4054044.000000,50542.000000
545585.000000,4054047.000000,50542.000000
545586.000000,4054049.000000,50543.000000
545586.000000,4054051.000000,50546.000000
545588.000000,4054053.000000,50540.000000
545590.000000,4054054.000000,50537.000000
545592.000000,4054056.000000,50544.000000
545593.000000,4054058.000000,50553.000000
545594.000000,4054060.000000,50552.000000
545595.000000,4054062.000000,50548.000000
545597.000000,4054064.000000,50552.000000
545599.000000,4054066.000000,50554.000000
545600.000000,4054068.000000,50554.000000
545601.000000,4054070.000000,50535.000000
545603.000000,4054072.000000,50541.000000
545603.000000,4054074.000000,50537.000000
545604.000000,4054076.000000,50540.000000
545604.000000,4054079.000000,50540.000000
545605.000000,4054081.000000,50529.000000
545605.000000,4054083.000000,50527.000000
545605.000000,4054086.000000,50535.000000
545604.000000,4054088.000000,50537.000000
545604.000000,4054090.000000,50529.000000
545604.000000,4054093.000000,50535.000000
545603.000000,4054095.000000,50534.000000
545603.000000,4054098.000000,50534.000000
545603.000000,4054100.000000,50533.000000
545603.000000,4054102.000000,50532.000000
545602.000000,4054104.000000,50529.000000
545602.000000,4054107.000000,50528.000000
545602.000000,4054109.000000,50530.000000
545600.000000,4054111.000000,50528.000000
545600.000000,4054114.000000,50531.000000
545599.000000,4054116.000000,50534.000000
545598.000000,4054118.000000,50542.000000
545597.000000,4054120.000000,50532.000000
545598.000000,4054123.000000,50529.000000
545597.000000,4054125.000000,50525.000000
545597.000000,4054127.000000,50524.000000
545596.000000,4054129.000000,50524.000000
545595.000000,4054132.000000,50520.000000
545594.000000,4054134.000000,50525.000000
545594.000000,4054136.000000,50535.000000
545594.000000,4054139.000000,50535.000000
545594.000000,4054141.000000,50534.000000
545594.000000,4054144.000000,50534.000000
545595.000000,4054146.000000,50537.000000
545595.000000,4054149.000000,50522.000000
545595.000000,4054151.000000,50521.000000
545594.000000,4054154.000000,50522.000000
545593.000000,4054155.000000,50527.000000
545593.000000,4054158.000000,50507.000000
545593.000000,4054160.000000,50507.000000
545593.000000,4054162.000000,50516.000000
545593.000000,4054164.000000,50514.000000
545594.000000,4054166.000000,50524.000000
545594.000000,4054169.000000,50514.000000
545594.000000,4054172.000000,50517.000000
545595.000000,4054174.000000,50505.000000
545594.000000,4054177.000000,50514.000000
545593.000000,4054179.000000,50516.000000
545593.000000,4054181.000000,50513.000000
545593.000000,4054184.000000,50519.000000
545593.000000,4054186.000000,50521.000000
545594.000000,4054189.000000,50522.000000
545594.000000,4054191.000000,50508.000000
545594.000000,4054194.000000,50514.000000
545593.000000,4054195.000000,50518.000000
545593.000000,4054198.000000,50513.000000
545593.000000,4054200.000000,50510.000000
545593.000000,4054202.000000,50518.000000
545593.000000,4054204.000000,50519.000000
545594.000000,4054207.000000,50515.000000
545594.000000,4054209.000000,50504.000000
545594.000000,4054211.000000,50505.000000
545594.000000,4054213.000000,50500.000000
545594.000000,4054216.000000,50500.000000
545594.000000,4054218.000000,50497.000000
545594.000000,4054221.000000,50501.000000
545594.000000,4054223.000000,50505.000000
545594.000000,4054225.000000,50510.000000
545594.000000,4054228.000000,50499.000000
545594.000000,4054230.000000,50506.000000
545594.000000,4054233.000000,50504.000000
545593.000000,4054235.000000,50503.000000
545593.000000,4054238.000000,50508.000000
545593.000000,4054240.000000,50500.000000
545594.000000,4054243.000000,50497.000000
545594.000000,4054245.000000,50503.000000
545594.000000,4054248.000000,50507.000000
545594.000000,4054250.000000,50512.000000
545594.000000,4054253.000000,50506.000000
545594.000000,4054255.000000,50505.000000
545594.000000,4054257.000000,50499.000000
545593.000000,4054259.000000,50505.000000
545593.000000,4054262.000000,50506.000000
545592.000000,4054264.000000,50507.000000
545592.000000,4054267.000000,50508.000000
545592.000000,4054269.000000,50506.000000
545592.000000,4054272.000000,50505.000000
545592.000000,4054274.000000,50506.000000
545592.000000,4054277.000000,50507.000000
545591.000000,4054279.000000,50515.000000
545591.000000,4054281.000000,50515.000000
545590.000000,4054284.000000,50519.000000
545590.000000,4054286.000000,50515.000000
545590.000000,4054289.000000,50511.000000
545590.000000,4054291.000000,50513.000000
545590.000000,4054293.000000,50511.000000
545590.000000,4054295.000000,50505.000000
545590.000000,4054298.000000,50502.000000
545590.000000,4054300.000000,50506.000000
545590.000000,4054303.000000,50507.000000
545590.000000,4054305.000000,50511.000000
545591.000000,4054307.000000,50510.000000
545590.000000,4054310.000000,50501.000000
545590.000000,4054312.000000,50505.000000
545591.000000,4054314.000000,50503.000000
545591.000000,4054317.000000,50497.000000
545591.000000,4054319.000000,50504.000000
545591.000000,4054322.000000,50501.000000
545591.000000,4054324.000000,50505.000000
545589.000000,4054327.000000,50508.000000
545588.000000,4054329.000000,50504.000000
545589.000000,4054332.000000,50506.000000
545588.000000,4054334.000000,50512.000000
545587.000000,4054336.000000,50507.000000
545587.000000,4054338.000000,50503.000000
545587.000000,4054341.000000,50501.000000
545588.000000,4054343.000000,50510.000000
545587.000000,4054345.000000,50509.000000
545587.000000,4054347.000000,50502.000000
545587.000000,4054350.000000,50513.000000
545587.000000,4054352.000000,50525.000000
545587.000000,4054355.000000,50521.000000
545587.000000,4054357.000000,50515.000000
545587.000000,4054359.000000,50512.000000
545586.000000,4054362.000000,50509.000000
545585.000000,4054364.000000,50524.000000
545585.000000,4054366.000000,50529.000000
545586.000000,4054369.000000,50510.000000
545585.000000,4054370.000000,50512.000000
545585.000000,4054372.000000,50505.000000
545586.000000,4054374.000000,50493.000000
545586.000000,4054376.000000,50496.000000
545587.000000,4054378.000000,50499.000000
545587.000000,4054380.000000,50497.000000
545587.000000,4054382.000000,50484.000000
545587.000000,4054384.000000,50493.000000
545587.000000,4054386.000000,50490.000000
545588.000000,4054388.000000,50489.000000
545589.000000,4054391.000000,50496.000000
545591.000000,4054393.000000,50493.000000
545592.000000,4054394.000000,50476.000000
545594.000000,4054397.000000,50497.000000
545595.000000,4054399.000000,50495.000000
545595.000000,4054402.000000,50495.000000
545593.000000,4054405.000000,50492.000000
545592.000000,4054407.000000,50488.000000
545593.000000,4054409.000000,50503.000000
545592.000000,4054412.000000,50521.000000
545591.000000,4054414.000000,50533.000000
545590.000000,4054416.000000,50520.000000
545590.000000,4054419.000000,50517.000000
545589.000000,4054421.000000,50524.000000
545589.000000,4054423.000000,50528.000000
545589.000000,4054426.000000,50520.000000
545590.000000,4054428.000000,50511.000000
545590.000000,4054430.000000,50517.000000
545590.000000,4054433.000000,50513.000000
545590.000000,4054435.000000,50512.000000
545590.000000,4054437.000000,50514.000000
545590.000000,4054440.000000,50513.000000
545590.000000,4054442.000000,50511.000000
545591.000000,4054444.000000,50517.000000
545591.000000,4054447.000000,50509.000000
545591.000000,4054449.000000,50516.000000
545592.000000,4054452.000000,50520.000000
545592.000000,4054454.000000,50514.000000
545592.000000,4054456.000000,50515.000000
545593.000000,4054459.000000,50517.000000
545593.000000,4054461.000000,50518.000000
545592.000000,4054463.000000,50514.000000
545591.000000,4054466.000000,50517.000000
545592.000000,4054468.000000,50520.000000
545592.000000,4054471.000000,50522.000000
545592.000000,4054473.000000,50523.000000
545592.000000,4054476.000000,50517.000000
545592.000000,4054478.000000,50517.000000
545593.000000,4054480.000000,50519.000000
545592.000000,4054483.000000,50523.000000
545592.000000,4054485.000000,50518.000000
545592.000000,4054487.000000,50518.000000
545592.000000,4054490.000000,50519.000000
545592.000000,4054492.000000,50520.000000
545592.000000,4054495.000000,50526.000000
545592.000000,4054497.000000,50507.000000
545591.000000,4054500.000000,50512.000000
545590.000000,4054502.000000,50511.000000
545590.000000,4054504.000000,50522.000000
545590.000000,4054507.000000,50524.000000
545589.000000,4054509.000000,50522.000000
545588.000000,4054511.000000,50520.000000
545587.000000,4054513.000000,50523.000000
545587.000000,4054515.000000,50531.000000
545587.000000,4054518.000000,50531.000000
545587.000000,4054520.000000,50521.000000
545588.000000,4054522.000000,50523.000000
545588.000000,4054525.000000,50530.000000
545588.000000,4054527.000000,50528.000000
545588.000000,4054530.000000,50527.000000
545588.000000,4054532.000000,50526.000000
545588.000000,4054534.000000,50530.000000
545588.000000,4054537.000000,50530.000000
545588.000000,4054539.000000,50529.000000
545587.000000,4054541.000000,50530.000000
545587.000000,4054544.000000,50530.000000
545588.000000,4054546.000000,50526.000000
545588.000000,4054549.000000,50525.000000
545588.000000,4054551.000000,50525.000000
545588.000000,4054553.000000,50532.000000
545588.000000,4054556.000000,50531.000000
545588.000000,4054558.000000,50527.000000
545589.000000,4054561.000000,50529.000000
545589.000000,4054563.000000,50531.000000
545588.000000,4054565.000000,50527.000000
545589.000000,4054567.000000,50522.000000
545590.000000,4054570.000000,50519.000000
545590.000000,4054572.000000,50523.000000
545590.000000,4054575.000000,50524.000000
545590.000000,4054577.000000,50530.000000
545591.000000,4054580.000000,50526.000000
545590.000000,4054582.000000,50525.000000
545590.000000,4054585.000000,50528.000000
545589.000000,4054587.000000,50530.000000
545589.000000,4054589.000000,50531.000000
545588.000000,4054592.000000,50528.000000
545588.000000,4054594.000000,50527.000000
545587.000000,4054597.000000,50529.000000
545587.000000,4054599.000000,50532.000000
545587.000000,4054602.000000,50531.000000
545586.000000,4054604.000000,50534.000000
545586.000000,4054606.000000,50528.000000
545585.000000,4054609.000000,50529.000000
545584.000000,4054610.000000,50524.000000
545582.000000,4054612.000000,50533.000000
545581.000000,4054614.000000,50526.000000
545580.000000,4054616.000000,50534.000000
545580.000000,4054618.000000,50534.000000
545580.000000,4054621.000000,50538.000000
545580.000000,4054623.000000,50531.000000
545580.000000,4054625.000000,50537.000000
545580.000000,4054627.000000,50532.000000
545579.000000,4054630.000000,50543.000000
545580.000000,4054632.000000,50532.000000
545580.000000,4054634.000000,50527.000000
545580.000000,4054637.000000,50525.000000
545581.000000,4054639.000000,50534.000000
545581.000000,4054641.000000,50543.000000
545581.000000,4054643.000000,50542.000000
545581.000000,4054645.000000,50537.000000
545582.000000,4054648.000000,50545.000000
545583.000000,4054649.000000,50543.000000
545584.000000,4054651.000000,50538.000000
545585.000000,4054654.000000,50538.000000
545585.000000,4054655.000000,50537.000000
545585.000000,4054655.000000,50538.000000
545585.000000,4054655.000000,50538.000000
545585.000000,4054661.000000,50547.000000
545585.000000,4054664.000000,50552.000000
545585.000000,4054666.000000,50552.000000
545585.000000,4054669.000000,50530.000000
545585.000000,4054671.000000,50523.000000
545585.000000,4054674.000000,50528.000000
545585.000000,4054678.000000,50539.000000
545585.000000,4054679.000000,50535.000000
545585.000000,4054681.000000,50541.000000
545585.000000,4054684.000000,50540.000000
545585.000000,4054687.000000,50538.000000
545586.000000,4054689.000000,50533.000000
545586.000000,4054691.000000,50537.000000
545586.000000,4054694.000000,50568.000000
545586.000000,4054696.000000,50552.000000
545586.000000,4054699.000000,50535.000000
545586.000000,4054702.000000,50538.000000
545586.000000,4054704.000000,50542.000000
545586.000000,4054707.000000,50536.000000
545586.000000,4054709.000000,50546.000000
545587.000000,4054711.000000,50545.000000
545588.000000,4054714.000000,50542.000000
545588.000000,4054718.000000,50548.000000
545589.000000,4054720.000000,50545.000000
545589.000000,4054721.000000,50547.000000
545589.000000,4054724.000000,50550.000000
545589.000000,4054726.000000,50546.000000
545589.000000,4054729.000000,50544.000000
545589.000000,4054732.000000,50541.000000
545590.000000,4054735.000000,50548.000000
545590.000000,4054737.000000,50542.000000
545590.000000,4054739.000000,50540.000000
545590.000000,4054742.000000,50548.000000
545591.000000,4054745.000000,50543.000000
545591.000000,4054747.000000,50544.000000
545591.000000,4054750.000000,50548.000000
545591.000000,4054752.000000,50547.000000
545591.000000,4054755.000000,50549.000000
545592.000000,4054759.000000,50551.000000
545592.000000,4054760.000000,50550.000000
545594.000000,4054762.000000,50549.000000
545594.000000,4054764.000000,50547.000000
545594.000000,4054767.000000,50546.000000
545594.000000,4054769.000000,50552.000000
545594.000000,4054772.000000,50556.000000
545594.000000,4054775.000000,50557.000000
545594.000000,4054777.000000,50554.000000
545593.000000,4054779.000000,50556.000000
545592.000000,4054782.000000,50551.000000
545591.000000,4054784.000000,50556.000000
545590.000000,4054787.000000,50560.000000
545589.000000,4054789.000000,50557.000000
545588.000000,4054791.000000,50550.000000
545585.000000,4054794.000000,50556.000000
545585.000000,4054795.000000,50561.000000
545583.000000,4054797.000000,50563.000000
545582.000000,4054799.000000,50563.000000
545581.000000,4054802.000000,50562.000000
545580.000000,4054804.000000,50557.000000
545579.000000,4054806.000000,50565.000000
545578.000000,4054808.000000,50573.000000
545578.000000,4054811.000000,50571.000000
545577.000000,4054813.000000,50567.000000
545577.000000,4054816.000000,50573.000000
545577.000000,4054818.000000,50570.000000
545576.000000,4054821.000000,50554.000000
545576.000000,4054823.000000,50557.000000
545576.000000,4054825.000000,50564.000000
545575.000000,4054829.000000,50564.000000
545575.000000,4054830.000000,50580.000000
545576.000000,4054833.000000,50573.000000
545575.000000,4054835.000000,50576.000000
545576.000000,4054838.000000,50569.000000
545577.000000,4054840.000000,50565.000000
545577.000000,4054843.000000,50568.000000
545578.000000,4054845.000000,50572.000000
545578.000000,4054848.000000,50573.000000
545579.000000,4054850.000000,50577.000000
545580.000000,4054852.000000,50574.000000
545580.000000,4054854.000000,50572.000000
545580.000000,4054857.000000,50574.000000
545581.000000,4054859.000000,50577.000000
545581.000000,4054862.000000,50571.000000
545581.000000,4054864.000000,50576.000000
545582.000000,4054867.000000,50581.000000
545582.000000,4054869.000000,50573.000000
545582.000000,4054872.000000,50573.000000
545582.000000,4054874.000000,50566.000000
545583.000000,4054878.000000,50573.000000
545583.000000,4054879.000000,50581.000000
545583.000000,4054882.000000,50575.000000
545583.000000,4054884.000000,50576.000000
545584.000000,4054887.000000,50577.000000
545584.000000,4054889.000000,50576.000000
545584.000000,4054892.000000,50582.000000
545585.000000,4054894.000000,50578.000000
545585.000000,4054897.000000,50570.000000
545585.000000,4054899.000000,50566.000000
545586.000000,4054902.000000,50572.000000
545586.000000,4054904.000000,50571.000000
545586.000000,4054907.000000,50577.000000
545586.000000,4054909.000000,50581.000000
545586.000000,4054912.000000,50579.000000
545587.000000,4054914.000000,50573.000000
545587.000000,4054917.000000,50576.000000
545587.000000,4054919.000000,50574.000000
545588.000000,4054922.000000,50578.000000
545589.000000,4054924.000000,50581.000000
545589.000000,4054927.000000,50577.000000
545589.000000,4054929.000000,50580.000000
545589.000000,4054931.000000,50581.000000
545590.000000,4054934.000000,50578.000000
545590.000000,4054936.000000,50581.000000
545590.000000,4054938.000000,50590.000000
545590.000000,4054941.000000,50590.000000
545590.000000,4054944.000000,50590.000000
545590.000000,4054947.000000,50587.000000
545589.000000,4054949.000000,50593.000000
545589.000000,4054951.000000,50587.000000
545588.000000,4054953.000000,50589.000000
545588.000000,4054956.000000,50596.000000
545588.000000,4054958.000000,50594.000000
545588.000000,4054961.000000,50582.000000
545588.000000,4054963.000000,50584.000000
545589.000000,4054966.000000,50588.000000
545589.000000,4054968.000000,50581.000000
545589.000000,4054970.000000,50587.000000
545590.000000,4054973.000000,50573.000000
545590.000000,4054975.000000,50575.000000
545590.000000,4054978.000000,50574.000000
545589.000000,4054980.000000,50573.000000
545589.000000,4054983.000000,50581.000000
545589.000000,4054986.000000,50580.000000
545589.000000,4054988.000000,50589.000000
545588.000000,4054990.000000,50586.000000
545588.000000,4054993.000000,50585.000000
545587.000000,4054995.000000,50596.000000
545586.000000,4054998.000000,50589.000000
545586.000000,4055000.000000,50586.000000
545585.000000,4055003.000000,50581.000000
545584.000000,4055005.000000,50581.000000
545583.000000,4055007.000000,50586.000000
545583.000000,4055010.000000,50594.000000
545584.000000,4055012.000000,50600.000000
545583.000000,4055014.000000,50590.000000
545584.000000,4055017.000000,50587.000000
545584.000000,4055019.000000,50578.000000
545585.000000,4055022.000000,50584.000000
545584.000000,4055025.000000,50589.000000
545584.000000,4055026.000000,50586.000000
545584.000000,4055029.000000,50585.000000
545584.000000,4055032.000000,50589.000000
545585.000000,4055034.000000,50595.000000
545585.000000,4055037.000000,50579.000000
545585.000000,4055039.000000,50586.000000
545586.000000,4055042.000000,50594.000000
545586.000000,4055044.000000,50587.000000
545587.000000,4055047.000000,50583.000000
545587.000000,4055049.000000,50593.000000
545587.000000,4055052.000000,50593.000000
545587.000000,4055054.000000,50584.000000
545587.000000,4055057.000000,50585.000000
545586.000000,4055059.000000,50585.000000
545586.000000,4055061.000000,50578.000000
545586.000000,4055064.000000,50591.000000
545587.000000,4055066.000000,50588.000000
545587.000000,4055069.000000,50588.000000
545588.000000,4055071.000000,50595.000000
545588.000000,4055073.000000,50595.000000
545588.000000,4055076.000000,50589.000000
545589.000000,4055079.000000,50589.000000
545588.000000,4055081.000000,50595.000000
545588.000000,4055084.000000,50593.000000
545588.000000,4055086.000000,50593.000000
545589.000000,4055088.000000,50598.000000
545589.000000,4055090.000000,50585.000000
545589.000000,4055093.000000,50586.000000
545590.000000,4055095.000000,50595.000000
545591.000000,4055098.000000,50598.000000
545591.000000,4055100.000000,50588.000000
545591.000000,4055103.000000,50589.000000
545590.000000,4055105.000000,50587.000000
545591.000000,4055109.000000,50586.000000
545591.000000,4055110.000000,50587.000000
545591.000000,4055113.000000,50590.000000
545591.000000,4055115.000000,50583.000000
545591.000000,4055118.000000,50578.000000
545591.000000,4055120.000000,50581.000000
545591.000000,4055123.000000,50587.000000
545591.000000,4055125.000000,50578.000000
545592.000000,4055128.000000,50581.000000
545592.000000,4055130.000000,50587.000000
545592.000000,4055133.000000,50591.000000
545592.000000,4055136.000000,50594.000000
545592.000000,4055137.000000,50584.000000
545592.000000,4055140.000000,50580.000000
545592.000000,4055142.000000,50578.000000
545592.000000,4055145.000000,50576.000000
545592.000000,4055147.000000,50591.000000
545594.000000,4055150.000000,50596.000000
545595.000000,4055152.000000,50593.000000
545595.000000,4055155.000000,50591.000000
545596.000000,4055157.000000,50587.000000
545596.000000,4055160.000000,50587.000000
545597.000000,4055162.000000,50588.000000
